"","cell","year"
"1034",6813,2017
"1035",7117,2017
"1036",7118,2017
"1037",6812,2022
"1038",6812,2024
"1039",7108,2012
"1040",7108,2016
"1041",7108,2017
"1042",7108,2018
"1043",7414,2018
"1044",7108,2019
"1045",7109,2019
"1046",7108,2020
"1047",7108,2021
"1048",7109,2021
"1049",7108,2022
"1050",7109,2022
"1051",7108,2024
"1052",6806,2020
"1053",6807,2020
"1054",7112,2020
"1055",7113,2020
"1056",6806,2021
"1057",6807,2021
"1058",7112,2021
"1059",7113,2021
"1060",7113,2012
"1061",7114,2012
"1062",7113,2013
"1063",7114,2013
"1064",7114,2014
"1065",7114,2020
"1066",7114,2021
"1067",7114,2024
"1068",6810,2024
"1069",7116,2024
"1070",7117,2020
"1071",7118,2020
"1072",7117,2021
"1073",7118,2021
"1074",7117,2022
"1075",7118,2022
"1076",7423,2022
"1077",7424,2022
"1078",7117,2024
"1079",7118,2024
"1080",7423,2024
"1081",7424,2024
"1082",7119,2012
"1083",7423,2012
"1084",7424,2012
"1085",7425,2012
"1086",6812,2013
"1087",7118,2013
"1088",7118,2014
"1089",7118,2015
"1090",7424,2015
"1091",7118,2016
"1092",7119,2017
"1093",7423,2017
"1094",7424,2017
"1095",7425,2017
"1096",7118,2019
"1097",7118,2023
"1098",7415,2012
"1099",7721,2012
"1100",7414,2014
"1101",7415,2014
"1102",7720,2014
"1103",7721,2014
"1104",7415,2017
"1105",7416,2017
"1106",7414,2020
"1107",7415,2020
"1108",7720,2020
"1109",7721,2020
"1110",7415,2022
"1111",7414,2024
"1112",7415,2024
"1113",7720,2024
"1114",7721,2024
"1115",7113,2022
"1116",7114,2022
"1117",7419,2022
"1118",7420,2022
"1119",7421,2021
"1120",7422,2021
"1121",7423,2011
"1122",7423,2021
"1123",7119,2015
"1124",7425,2015
"1125",7117,2016
"1126",7119,2016
"1127",7423,2016
"1128",7424,2016
"1129",7425,2016
"1130",7117,2023
"1131",7119,2023
"1132",7423,2023
"1133",7424,2023
"1134",7425,2023
"1135",7426,2017
"1136",7731,2017
"1137",7732,2017
"1138",7119,2019
"1139",7424,2019
"1140",7425,2019
"1141",7425,2022
"1142",7426,2014
"1143",7426,2016
"1144",7427,2016
"1145",7731,2016
"1146",7732,2016
"1147",7733,2016
"1148",7426,2018
"1149",7426,2019
"1150",7427,2019
"1151",7466,2019
"1152",7467,2019
"1153",7772,2019
"1154",7773,2019
"1155",7467,2024
"1156",7468,2024
"1157",7471,2015
"1158",7777,2015
"1159",7547,2018
"1160",7570,2024
"1161",7571,2024
"1162",7713,2011
"1163",7714,2011
"1164",7713,2012
"1165",7714,2012
"1166",7713,2013
"1167",7713,2014
"1168",7713,2022
"1169",7714,2022
"1170",7415,2013
"1171",7721,2013
"1172",7415,2016
"1173",7721,2016
"1174",7721,2017
"1175",7721,2021
"1176",7721,2022
"1177",7722,2023
"1178",7723,2023
"1179",7726,2012
"1180",7727,2012
"1181",8032,2012
"1182",8033,2012
"1183",7726,2016
"1184",7727,2016
"1185",8032,2016
"1186",8033,2016
"1187",7728,2011
"1188",7729,2011
"1189",7729,2012
"1190",7729,2013
"1191",7729,2014
"1192",7729,2016
"1193",7728,2017
"1194",7729,2017
"1195",7729,2018
"1196",7729,2021
"1197",7729,2022
"1198",7729,2024
"1199",7731,2022
"1200",7732,2022
"1201",7731,2013
"1202",7732,2013
"1203",7733,2013
"1204",8038,2013
"1205",8039,2013
"1206",7731,2014
"1207",7732,2014
"1208",7733,2014
"1209",8038,2014
"1210",8039,2014
"1211",7731,2015
"1212",7732,2015
"1213",7733,2015
"1214",8038,2015
"1215",8039,2015
"1216",7732,2018
"1217",7733,2018
"1218",8038,2018
"1219",8039,2018
"1220",7732,2019
"1221",7733,2019
"1222",8038,2019
"1223",8039,2019
"1224",7732,2020
"1225",7731,2021
"1226",7732,2021
"1227",7733,2021
"1228",8038,2021
"1229",8039,2021
"1230",7732,2024
"1231",7733,2022
"1232",7772,2015
"1233",8078,2015
"1234",7781,2014
"1235",8087,2014
"1236",7877,2023
"1237",7879,2019
"1238",8185,2019
"1239",7882,2019
"1240",7883,2019
"1241",7720,2012
"1242",8026,2012
"1243",8027,2012
"1244",7720,2013
"1245",8026,2013
"1246",8027,2013
"1247",8026,2014
"1248",8027,2014
"1249",7720,2017
"1250",8026,2017
"1251",8027,2017
"1252",8027,2018
"1253",7721,2019
"1254",7722,2019
"1255",8026,2019
"1256",8027,2019
"1257",8028,2019
"1258",7722,2020
"1259",8026,2020
"1260",8027,2020
"1261",8028,2020
"1262",8027,2021
"1263",8027,2022
"1264",7727,2011
"1265",8033,2011
"1266",8034,2011
"1267",8034,2012
"1268",8033,2013
"1269",8034,2013
"1270",8339,2013
"1271",8340,2013
"1272",8033,2015
"1273",8034,2015
"1274",8339,2015
"1275",8340,2015
"1276",8034,2016
"1277",8339,2016
"1278",8340,2016
"1279",8033,2017
"1280",8034,2017
"1281",8339,2017
"1282",8340,2017
"1283",8033,2018
"1284",8034,2018
"1285",8339,2018
"1286",8340,2018
"1287",8033,2019
"1288",8034,2019
"1289",8033,2020
"1290",8034,2020
"1291",8339,2020
"1292",8340,2020
"1293",8034,2021
"1294",8033,2022
"1295",8034,2022
"1296",8339,2022
"1297",8340,2022
"1298",8033,2023
"1299",8034,2023
"1300",8339,2023
"1301",8340,2023
"1302",8038,2012
"1303",8038,2022
"1304",8039,2022
"1305",8040,2024
"1306",8079,2015
"1307",8079,2022
"1308",8079,2023
"1309",8079,2018
"1310",8080,2018
"1311",8080,2019
"1312",8085,2016
"1313",8086,2016
"1314",8087,2016
"1315",8391,2016
"1316",8392,2016
"1317",8085,2019
"1318",8086,2019
"1319",8086,2021
"1320",8086,2023
"1321",8087,2023
"1322",8091,2019
"1323",8092,2019
"1324",8397,2019
"1325",8398,2019
"1326",8092,2020
"1327",8092,2022
"1328",8398,2022
"1329",8096,2024
"1330",8102,2011
"1331",8103,2011
"1332",8408,2011
"1333",8409,2011
"1334",8135,2021
"1335",8136,2021
"1336",8160,2021
"1337",7863,2023
"1338",8169,2023
"1339",7873,2020
"1340",7874,2020
"1341",8179,2020
"1342",8180,2020
"1343",8185,2016
"1344",8186,2016
"1345",8491,2016
"1346",8492,2016
"1347",8332,2011
"1348",8333,2011
"1349",8638,2011
"1350",8639,2011
"1351",8333,2012
"1352",8332,2013
"1353",8333,2013
"1354",8334,2013
"1355",8333,2014
"1356",8333,2015
"1357",8026,2016
"1358",8027,2016
"1359",8332,2016
"1360",8333,2016
"1361",8333,2017
"1362",8334,2017
"1363",8333,2018
"1364",8334,2018
"1365",8333,2021
"1366",8333,2023
"1367",8333,2024
"1368",8639,2024
"1369",8334,2011
"1370",8334,2012
"1371",8335,2013
"1372",8639,2013
"1373",8640,2013
"1374",8641,2013
"1375",8334,2015
"1376",8333,2019
"1377",8334,2019
"1378",8335,2019
"1379",8639,2019
"1380",8640,2019
"1381",8641,2019
"1382",8334,2020
"1383",8334,2021
"1384",8340,2024
"1385",8344,2012
"1386",8345,2012
"1387",8344,2016
"1388",8345,2016
"1389",8650,2016
"1390",8651,2016
"1391",8345,2023
"1392",8651,2023
"1393",8357,2017
"1394",8358,2017
"1395",8389,2016
"1396",8388,2017
"1397",8389,2017
"1398",8389,2018
"1399",8389,2019
"1400",8389,2021
"1401",8388,2022
"1402",8389,2022
"1403",8083,2024
"1404",8388,2024
"1405",8389,2024
"1406",8390,2014
"1407",8391,2014
"1408",8085,2021
"1409",8391,2021
"1410",8391,2024
"1411",8398,2018
"1412",8399,2018
"1413",8398,2023
"1414",8399,2023
"1415",8399,2024
"1416",8400,2015
"1417",8401,2015
"1418",8706,2015
"1419",8707,2015
"1420",8097,2024
"1421",8403,2024
"1422",8404,2024
"1423",8178,2024
"1424",8179,2024
"1425",8484,2024
"1426",8485,2024
"1427",8490,2019
"1428",8491,2019
"1429",8638,2012
"1430",8639,2012
"1431",8638,2013
"1432",8944,2013
"1433",8945,2013
"1434",8637,2016
"1435",8638,2016
"1436",8943,2016
"1437",8944,2016
"1438",8638,2017
"1439",8639,2017
"1440",8944,2017
"1441",8638,2018
"1442",8639,2016
"1443",8639,2018
"1444",8638,2019
"1445",8333,2020
"1446",8638,2020
"1447",8639,2020
"1448",8639,2021
"1449",8333,2022
"1450",8639,2022
"1451",8640,2021
