"","cell","year"
"684",3740,2024
"685",3438,2022
"686",3744,2023
"687",3745,2023
"688",3439,2017
"689",3439,2018
"690",3439,2019
"691",3439,2022
"692",3439,2024
"693",3443,2017
"694",3444,2017
"695",3445,2017
"696",3750,2017
"697",3148,2020
"698",3149,2020
"699",3454,2020
"700",3455,2020
"701",3697,2024
"702",3725,2020
"703",3726,2020
"704",3419,2023
"705",3420,2023
"706",3725,2023
"707",3726,2023
"708",3422,2018
"709",3423,2018
"710",3728,2018
"711",3729,2018
"712",3729,2020
"713",3738,2012
"714",3739,2012
"715",3738,2014
"716",3739,2014
"717",4045,2014
"718",3738,2016
"719",3739,2016
"720",3739,2017
"721",3739,2020
"722",3739,2021
"723",3739,2022
"724",3434,2011
"725",3740,2011
"726",3434,2015
"727",3740,2015
"728",3434,2017
"729",3740,2017
"730",3434,2018
"731",3740,2018
"732",3740,2019
"733",3741,2011
"734",3742,2011
"735",4047,2011
"736",3741,2013
"737",3741,2014
"738",3741,2015
"739",3741,2017
"740",3741,2018
"741",3742,2018
"742",3741,2010
"743",3742,2010
"744",3742,2012
"745",3742,2013
"746",3742,2014
"747",3742,2015
"748",3435,2018
"749",3436,2018
"750",3741,2020
"751",3742,2020
"752",3742,2021
"753",3743,2021
"754",4048,2021
"755",4049,2021
"756",3741,2022
"757",3742,2022
"758",3742,2023
"759",3741,2024
"760",3742,2024
"761",3744,2011
"762",3440,2017
"763",3745,2017
"764",3746,2017
"765",3440,2018
"766",3745,2018
"767",3746,2018
"768",3744,2019
"769",3745,2019
"770",3745,2020
"771",3744,2022
"772",3745,2022
"773",3441,2018
"774",3747,2018
"775",3440,2019
"776",3746,2019
"777",3439,2020
"778",3440,2020
"779",3746,2020
"780",3440,2022
"781",3746,2022
"782",3440,2023
"783",3746,2023
"784",3759,2020
"785",3760,2022
"786",3454,2023
"787",3759,2023
"788",3760,2023
"789",3761,2023
"790",4033,2015
"791",4045,2010
"792",4045,2011
"793",4045,2012
"794",4045,2013
"795",4045,2016
"796",4045,2017
"797",4045,2018
"798",4044,2019
"799",4045,2019
"800",4350,2019
"801",4351,2019
"802",4045,2020
"803",4045,2022
"804",4045,2023
"805",4046,2023
"806",4351,2023
"807",4352,2023
"808",3740,2021
"809",4045,2021
"810",4046,2021
"811",4046,2024
"812",4047,2024
"813",4067,2024
"814",4068,2024
"815",4373,2024
"816",4374,2024
"817",4351,2010
"818",4350,2011
